2021-12-30 00:00:01,020 INFO 42946 [egg-logrotator] agent logger reload: got log-reload message
2021-12-30 00:04:27,853 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116999,"size":826,"blocks":8,"atimeMs":1640793867818.7878,"mtimeMs":1640793867788.6956,"ctimeMs":1640793867788.6956,"birthtimeMs":1640793131258.4734,"atime":"2021-12-29T16:04:27.819Z","mtime":"2021-12-29T16:04:27.789Z","ctime":"2021-12-29T16:04:27.789Z","birthtime":"2021-12-29T15:52:11.258Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:28,688 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793779258.8308,"mtimeMs":1640793868673.1333,"ctimeMs":1640793868673.1333,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:02:59.259Z","mtime":"2021-12-29T16:04:28.673Z","ctime":"2021-12-29T16:04:28.673Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:33,991 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116999,"size":847,"blocks":8,"atimeMs":1640793868741.438,"mtimeMs":1640793873984.1714,"ctimeMs":1640793873984.1714,"birthtimeMs":1640793131258.4734,"atime":"2021-12-29T16:04:28.741Z","mtime":"2021-12-29T16:04:33.984Z","ctime":"2021-12-29T16:04:33.984Z","birthtime":"2021-12-29T15:52:11.258Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:34,041 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19116999,"size":847,"blocks":8,"atimeMs":1640793874023.3713,"mtimeMs":1640793873984.1714,"ctimeMs":1640793873984.1714,"birthtimeMs":1640793131258.4734,"atime":"2021-12-29T16:04:34.023Z","mtime":"2021-12-29T16:04:33.984Z","ctime":"2021-12-29T16:04:33.984Z","birthtime":"2021-12-29T15:52:11.258Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:34,824 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793870960.2466,"mtimeMs":1640793874797.9336,"ctimeMs":1640793874797.9336,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:04:30.960Z","mtime":"2021-12-29T16:04:34.798Z","ctime":"2021-12-29T16:04:34.798Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:40,826 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":143,"blocks":8,"atimeMs":1640793131687.5063,"mtimeMs":1640793880815.3552,"ctimeMs":1640793880815.3552,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T15:52:11.688Z","mtime":"2021-12-29T16:04:40.815Z","ctime":"2021-12-29T16:04:40.815Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:40,877 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":143,"blocks":8,"atimeMs":1640793880847.028,"mtimeMs":1640793880815.3552,"ctimeMs":1640793880815.3552,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:04:40.847Z","mtime":"2021-12-29T16:04:40.815Z","ctime":"2021-12-29T16:04:40.815Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:04:41,670 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793876142.4258,"mtimeMs":1640793881641.959,"ctimeMs":1640793881641.959,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:04:36.142Z","mtime":"2021-12-29T16:04:41.642Z","ctime":"2021-12-29T16:04:41.642Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:06:45,509 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":455,"blocks":8,"atimeMs":1640794005479.7883,"mtimeMs":1640794005446.4153,"ctimeMs":1640794005446.4153,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:06:45.480Z","mtime":"2021-12-29T16:06:45.446Z","ctime":"2021-12-29T16:06:45.446Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:06:45,595 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":455,"blocks":8,"atimeMs":1640794005479.7883,"mtimeMs":1640794005583.5479,"ctimeMs":1640794005583.5479,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:06:45.480Z","mtime":"2021-12-29T16:06:45.584Z","ctime":"2021-12-29T16:06:45.584Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:06:45,645 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":455,"blocks":8,"atimeMs":1640794005605.282,"mtimeMs":1640794005583.5479,"ctimeMs":1640794005583.5479,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:06:45.605Z","mtime":"2021-12-29T16:06:45.584Z","ctime":"2021-12-29T16:06:45.584Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:06:46,578 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640793883372.2742,"mtimeMs":1640794006523.8804,"ctimeMs":1640794006523.8804,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:04:43.372Z","mtime":"2021-12-29T16:06:46.524Z","ctime":"2021-12-29T16:06:46.524Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:07:04,784 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":471,"blocks":8,"atimeMs":1640794024756.592,"mtimeMs":1640794024720.4248,"ctimeMs":1640794024720.4248,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:07:04.757Z","mtime":"2021-12-29T16:07:04.720Z","ctime":"2021-12-29T16:07:04.720Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:07:05,711 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640794008151.4111,"mtimeMs":1640794025671.1873,"ctimeMs":1640794025671.1873,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:06:48.151Z","mtime":"2021-12-29T16:07:05.671Z","ctime":"2021-12-29T16:07:05.671Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:07:23,903 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":514,"blocks":8,"atimeMs":1640794043872.7217,"mtimeMs":1640794043841.1025,"ctimeMs":1640794043841.1025,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:07:23.873Z","mtime":"2021-12-29T16:07:23.841Z","ctime":"2021-12-29T16:07:23.841Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:07:24,777 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640794026746.021,"mtimeMs":1640794044721.9226,"ctimeMs":1640794044721.9226,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:07:06.746Z","mtime":"2021-12-29T16:07:24.722Z","ctime":"2021-12-29T16:07:24.722Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:07:41,970 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":540,"blocks":8,"atimeMs":1640794061940.791,"mtimeMs":1640794061906.1929,"ctimeMs":1640794061906.1929,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:07:41.941Z","mtime":"2021-12-29T16:07:41.906Z","ctime":"2021-12-29T16:07:41.906Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:07:43,023 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640794063022.5615,"mtimeMs":1640794062971.0159,"ctimeMs":1640794062971.0159,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:07:43.023Z","mtime":"2021-12-29T16:07:42.971Z","ctime":"2021-12-29T16:07:42.971Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:08:10,076 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":604,"blocks":8,"atimeMs":1640794090045.6558,"mtimeMs":1640794090011.6768,"ctimeMs":1640794090011.6768,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:08:10.046Z","mtime":"2021-12-29T16:08:10.012Z","ctime":"2021-12-29T16:08:10.012Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:08:11,000 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640794063022.5615,"mtimeMs":1640794090976.0747,"ctimeMs":1640794090976.0747,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:07:43.023Z","mtime":"2021-12-29T16:08:10.976Z","ctime":"2021-12-29T16:08:10.976Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:08:13,541 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":604,"blocks":8,"atimeMs":1640794091009.6045,"mtimeMs":1640794093526.2725,"ctimeMs":1640794093526.2725,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:08:11.010Z","mtime":"2021-12-29T16:08:13.526Z","ctime":"2021-12-29T16:08:13.526Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:08:13,587 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/app/web/page/today-gain/problem-list/index.jsx","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19117005,"size":604,"blocks":8,"atimeMs":1640794093554.5278,"mtimeMs":1640794093526.2725,"ctimeMs":1640794093526.2725,"birthtimeMs":1640793131258.9229,"atime":"2021-12-29T16:08:13.555Z","mtime":"2021-12-29T16:08:13.526Z","ctime":"2021-12-29T16:08:13.526Z","birthtime":"2021-12-29T15:52:11.259Z"},"remove":false,"isDirectory":false,"isFile":true}
2021-12-30 00:08:14,282 INFO 42946 [egg-watcher] Received a change event from eventSource: {"event":"change","path":"/Users/heqiang/days/my-leetcode-helper/config/manifest.json","stat":{"dev":16777233,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":19181588,"size":800,"blocks":8,"atimeMs":1640794094262.0562,"mtimeMs":1640794094262.5544,"ctimeMs":1640794094262.5544,"birthtimeMs":1640793204375.774,"atime":"2021-12-29T16:08:14.262Z","mtime":"2021-12-29T16:08:14.263Z","ctime":"2021-12-29T16:08:14.263Z","birthtime":"2021-12-29T15:53:24.376Z"},"remove":false,"isDirectory":false,"isFile":true}
